Time    	Lin Cylinder_BoomLift_L x
30.036	150.4216892
30.0492	149.8128035
30.0636	149.2194356
30.078	148.5901016
30.0912	147.9375465
30.1056	147.3266914
30.12	146.2895297
30.1344	145.7287556
30.1488	145.1227623
30.1644	144.5123159
30.1764	143.9231708
30.1908	143.3431195
30.2052	142.7685263
30.2184	142.2535976
30.2328	141.6757175
30.2472	141.0724821
30.2628	140.4476593
30.276	139.8126457
30.2892	139.1761668
30.3036	138.5384467
30.318	137.9056113
30.3336	137.2791842
30.348	136.6413322
30.3612	136.0527081
30.3756	135.4702769
30.39	134.8359813
30.4056	134.2488709
30.42	133.6304865
30.4332	133.0866306
30.4488	132.5118471
30.4632	131.9401131
30.4788	131.3668535
30.4932	130.6720806
30.5076	129.9433426
30.5232	129.2729906
30.5376	127.9560278
30.5508	127.1892017
30.5652	126.5210674
30.5772	125.841255
30.5928	125.2355072
30.6072	124.6352488
30.6228	124.0595585
30.6372	123.5322155
30.6504	122.8530975
30.6648	122.1644403
30.6792	121.41129
30.6948	120.7143932
30.7092	120.0635015
30.7236	119.4300089
30.7392	118.8004629
30.7524	118.1990175
30.768	117.6385274
30.7836	117.0858129
30.798	116.425226
30.8136	115.7453862
30.8256	114.9920458
30.84	114.3722176
30.8544	113.7633996
30.8676	113.1543696
30.882	112.5448724
30.8952	111.8938506
30.9096	111.2996599
30.9252	110.713756
30.9396	110.1460576
30.9528	109.4975267
30.9672	108.9603212
30.9828	108.4115544
30.996	107.812074
31.0104	107.2814808
31.026	106.7545793
31.0404	106.172316
31.056	105.5715283
31.0704	105.0209552
31.0848	104.4872875
31.1016	103.931781
31.1148	103.4443166
31.1292	102.8689327
31.1448	102.3776008
31.1592	101.8353784
31.1712	101.2912665
31.1844	100.8005929
31.1988	100.2678706
31.212	99.77476067
31.2252	99.24279644
31.2396	98.67083793
31.254	98.04656886
31.2684	97.55151105
31.2828	96.99289963
31.296	96.4670793
31.3116	96.04558702
31.326	95.59136721
31.3404	95.13920707
31.3536	94.65238057
31.368	94.16177604
31.3836	93.68931118
31.3968	93.13884122
31.4112	92.5726214
31.4244	91.91597952
31.4388	91.32243349
31.4532	90.70963373
31.4676	90.16584228
31.4832	89.64033761
31.4964	89.07685267
31.5108	88.56710619
31.5252	88.03271285
31.5396	87.47056676
31.554	86.96885527
31.5684	86.48463146
31.5828	86.01251904
31.596	85.57370332
31.6092	85.06090272
